Instrument,Growth_cluster_rank,Quality_cluster_rank,Value_cluster_rank,Momentum_cluster_rank,overall_rank
FLUI,98.7,22.0,88.9,1.9,56.8
FLUO,87.2,31.1,30.4,33.8,37.1
GABA,,8.2,1.6,11.2,0.3
GENO,9.5,93.0,13.7,70.2,39.6
GUARD,,3.5,64.5,42.0,17.5
ICO,13.7,27.5,92.2,35.3,29.4
IDLDX,74.8,9.0,76.7,18.2,34.7
INIT,,8.6,44.3,4.6,3.2
INTEG-B,42.1,34.3,49.8,66.4,43.7
IVACC,94.6,13.0,91.7,16.6,60.4
IZAFE-B,3.6,7.0,20.2,48.1,3.3
KLAR,99.9,36.4,0.8,4.4,15.2
KONT,21.6,60.9,62.9,22.8,29.3
LIDDS,,7.2,67.2,60.7,35.5
LPGO,,0.3,93.9,42.4,36.8
LIPUM,,7.4,0.4,44.2,2.4
LARK,2.1,11.0,93.0,8.0,8.1
MAGLE,95.8,66.1,59.8,14.4,73.5
MAGNA,,10.0,97.3,0.1,16.2
MEDHLP,51.9,77.9,43.4,89.0,85.5
MODTX,,3.8,95.6,18.9,22.3
NANEXA,6.1,25.4,53.3,74.1,22.9
NANECH,,41.7,79.1,21.2,41.7
NEOLA,8.1,38.1,42.2,47.2,13.0
NEWBRY,97.6,24.8,62.3,40.8,67.6
NXTCL,88.0,7.9,66.7,6.7,30.2
ONCOZ,,28.0,58.4,90.0,73.0
ORTI-A,16.8,9.4,99.2,57.3,37.3
ORTI-B,16.8,9.4,99.1,20.7,17.1
ORT-B,98.0,70.5,16.6,96.1,92.8
OSSD,92.6,38.5,80.1,83.2,96.2
PAX,68.6,87.7,41.2,83.4,92.7
PERP-B,96.1,12.7,39.0,7.4,21.0
PILA,1.4,32.4,2.3,17.3,1.3
PRO,64.0,42.7,10.3,9.0,10.1
PLUN,56.3,20.3,96.9,14.9,40.9
PROGEN,1.5,5.6,97.0,5.4,7.0
QLIFE,,12.0,97.8,77.8,80.8
QUIA,,28.6,93.2,3.3,27.4
S2M,88.4,99.4,91.9,49.2,99.5
SDOS,44.8,55.8,68.9,40.4,55.8
CMOTEC-B,94.1,12.5,3.6,37.0,17.8
HEART,98.5,40.8,90.2,28.8,84.4
SCOL,,4.0,94.8,0.4,12.3
SCIB,89.5,11.8,82.4,33.6,61.1
SENZA,32.0,30.8,88.7,32.3,38.2
SPAGO,52.9,5.1,60.1,96.5,58.7
SPEC-BTU,,,,,
STABL,,34.0,59.6,21.7,20.5
STIL,46.6,82.2,26.7,43.5,48.7
SUS,82.8,73.3,62.0,66.8,93.6
TOL,60.5,12.5,88.3,62.4,65.6
XINT,4.7,46.4,99.3,49.8,49.6
XPC,95.3,43.9,29.4,82.1,81.2
ABSO,11.1,76.9,27.3,24.9,14.6
ACUVI,44.6,80.8,83.9,86.8,96.7
AXOLOT,96.8,43.5,52.4,85.2,91.6
BAWAT,4.2,0.1,98.8,4.1,6.8
BOMILL,13.3,15.0,10.8,19.1,1.5
CALVIK,52.2,55.6,57.5,,63.6
CARE,25.7,67.9,61.2,52.5,53.7
CI,3.3,2.7,90.6,16.9,7.8
DLAB,32.7,9.7,5.9,37.5,4.1
ESGR-B,85.1,25.1,87.0,30.9,69.7
FERRO,6.4,0.5,49.5,15.8,2.7
FIRE,50.3,89.9,26.0,59.0,67.0
FLEXQ,15.3,24.0,47.6,32.6,9.0
FREEM,9.7,27.8,82.3,95.5,59.6
GPX,5.9,37.3,12.5,25.6,3.5
GOTL-A,91.8,47.5,24.1,76.9,76.0
GOTL-B,91.8,47.5,23.8,91.3,83.2
GGEO,87.7,64.6,91.2,48.3,95.4
HEGR,64.6,29.3,87.8,13.0,45.1
HEGR-BTU,,,,,
HELIO,2.6,2.0,68.6,15.5,4.5
HILB-B,,14.0,,98.7,67.4
IDUN-B,75.6,69.8,4.4,46.0,46.9
LXB,99.0,23.5,81.4,23.4,68.9
LYGRD,40.8,21.4,6.8,92.6,24.4
MANTEX,3.8,34.5,89.3,25.6,19.9
NEPA,18.1,17.8,74.9,52.6,25.7
NJOB,,94.6,77.4,77.0,99.7
LEVEL,78.3,36.7,80.7,6.5,51.3
NOTEK,97.4,84.3,45.1,94.4,98.8
OGUN-B,16.5,65.7,71.8,34.8,41.1
OPTI,89.9,26.1,93.1,18.0,68.5
OXE,82.4,11.3,82.2,11.9,40.3
PCOM-B,20.1,48.6,51.6,12.1,12.4
RLOS-B,3.2,15.2,74.8,43.8,13.3
RO,12.9,25.2,73.0,98.2,55.4
SAXG,6.7,26.2,81.1,8.9,9.3
SES,1.3,44.9,88.2,8.2,15.8
SERT,86.2,34.9,41.4,5.1,28.8
SIBEK,18.3,88.1,25.1,56.5,40.6
SILEON,4.5,5.5,78.5,9.8,5.5
SEYE,50.3,39.6,87.3,63.6,76.3
SUMMAS,,14.0,,0.3,0.4
TEQ,73.2,73.0,26.3,36.3,54.7
TERNOR,,14.0,,,1.4
TRAIN-B,69.5,53.8,36.5,27.7,40.1
VSSAB-B,27.3,48.5,77.9,58.4,57.1
VIMAB,17.0,6.1,1.0,11.7,0.9
W5,25.5,42.2,22.4,71.9,24.6
WPAY,60.8,44.1,3.8,90.2,48.6
AXIC-A,97.8,30.2,32.1,96.3,83.9
CINIS,100.0,3.2,48.0,0.8,19.4
CLEM,82.1,59.2,31.8,49.0,64.8
ITECH,89.4,95.3,5.6,85.4,90.4
IMPC,96.5,32.0,85.3,56.4,88.8
LCLEAN,28.5,15.3,94.4,6.9,16.9
ORGC,28.0,16.5,32.8,5.0,3.7
PCAT,10.2,26.5,44.3,37.4,8.7
POLYG,73.1,52.8,46.8,80.7,82.6
AERO,96.9,38.4,95.1,2.6,72.4
TRIBO-B,73.4,18.7,38.6,9.3,14.5
CIRCHE,96.4,49.6,76.2,9.3,71.4
DE,20.7,95.6,61.1,61.3,74.9
DE-IL,20.7,95.6,84.3,,87.2
GIGA,66.4,48.0,64.4,6.4,38.7
MASHUP,81.3,10.5,99.0,4.0,45.3
ARCT,,14.0,84.9,56.9,54.0
BIOEX,10.0,6.4,9.2,62.9,4.3
BOTX,,74.7,64.1,23.0,60.1
DMXSE-SDB,,17.1,0.5,89.3,15.6
FNMC-SDB,,6.3,1.0,56.6,4.0
LEMSE,,19.8,2.9,24.5,1.9
LUC,13.3,90.4,46.9,2.1,19.8
NIO,,21.0,88.6,2.2,18.4
ADVBOX,9.9,8.3,94.0,29.4,15.3
BBROOM,43.0,36.8,86.1,48.8,59.1
CANDLE-B,69.9,24.9,17.6,88.3,50.3
CDON,17.9,39.8,92.1,4.9,20.8
CEDER,76.9,58.3,31.5,87.3,83.1
CLEMO,92.3,9.2,82.8,92.7,91.0
DSNO,24.8,59.6,76.6,4.7,26.9
ALBERT,32.7,15.7,87.9,71.6,54.1
ELLWEE,16.6,65.9,4.3,80.4,28.1
EMB,96.0,43.6,26.8,40.2,53.5
ENVAR,94.0,89.3,17.4,91.5,95.5
FRAG,7.9,17.6,27.4,85.8,14.2
FSPORT,4.6,24.6,91.0,47.9,29.2
GCOR,93.9,0.8,15.5,88.2,48.3
GBK,90.1,35.4,96.1,7.8,70.5
HOTEL,43.8,21.9,97.9,45.0,54.5
KAKEL,70.9,27.6,87.4,11.0,47.4
KAMBI,17.4,89.5,24.6,92.9,66.4
BRAVE,,14.0,,10.8,1.2
KJELL,30.3,41.4,73.6,77.9,65.3
MOBA,34.9,42.0,75.6,22.3,32.4
MAV,2.2,9.8,97.4,1.2,7.5
MAXENT-B,11.9,12.9,47.5,4.2,3.1
NANOC-B,62.8,19.4,92.5,34.6,55.1
BOAT,20.5,21.7,87.1,38.4,29.0
NITRO,20.9,86.1,25.3,5.8,13.8
NREST,53.4,82.7,33.4,97.7,87.1
NBZ,83.7,23.3,74.6,8.6,42.5
OBAB,74.0,45.0,68.0,23.6,56.3
QIIWI,15.9,35.3,65.8,49.9,27.6
REALFI,5.3,28.3,27.9,3.0,2.2
REFINE,7.8,6.6,93.5,2.3,7.3
SBOK,85.4,75.2,88.4,76.3,99.1
SCOUT,91.2,25.7,24.7,96.9,74.7
SKOLON,86.8,18.2,4.2,73.9,38.0
SOZAP,9.7,32.6,92.7,65.6,50.0
STORY-B,55.6,81.7,66.3,72.7,90.8
BUY,,14.0,,27.1,3.6
SODER,67.4,63.4,33.0,80.1,78.0
TELLUS,63.8,58.4,99.5,19.0,76.2
TOURN,30.3,2.9,46.6,12.3,4.7
UTG,63.4,64.0,13.0,68.2,54.6
USWE,78.6,32.9,78.7,88.7,92.1
ACCON,76.2,33.0,20.8,56.0,39.4
PADEL,,14.0,,2.7,0.8
ADTR,36.3,23.7,88.8,20.2,29.6
AVT-B,81.5,97.1,8.7,79.7,87.0
BUSER,19.4,25.3,86.7,74.7,53.1
BEAMMW-B,71.0,31.6,7.3,99.4,55.4
BIM,62.1,18.0,63.5,41.2,38.6
BINERO,12.6,50.0,60.2,70.5,44.2
BRILL,36.3,21.1,46.4,26.6,11.6
CHARGE,16.0,1.2,12.4,76.6,6.6
CHECK,23.5,20.6,55.3,10.5,7.2
CLAV,77.4,48.1,99.6,63.9,95.0
CDMIL,14.4,94.1,56.7,65.4,70.8
COMPDM,87.9,35.8,89.5,35.7,80.2
CFISH,3.9,1.7,61.9,97.8,26.7
DIAH,10.5,29.0,65.9,17.7,9.6
DIVIO-B,87.0,7.7,2.1,8.5,6.5
DONE,0.8,75.7,97.5,47.8,64.4
ENERS,9.1,5.9,,33.0,2.0
EXS,65.6,70.1,13.4,63.0,57.1
FLEXM,28.3,19.1,50.2,24.1,9.2
FLOWS,57.4,40.2,14.2,24.5,13.2
FRAM-B,19.0,2.4,2.2,1.8,0.1
GENI,68.8,88.2,14.8,45.6,61.4
GREAT,2.5,12.3,49.7,1.4,2.3
HDW-B,85.6,3.7,35.4,54.2,34.8
HIFA-B,35.0,93.2,57.3,53.0,74.7
INSP,33.6,35.0,91.3,15.1,32.9
IRIS,9.3,25.6,92.8,12.5,14.6
JLT,47.7,29.8,74.0,22.2,31.6
K33,97.1,12.1,0.7,91.9,51.2
KENH,80.9,50.4,48.5,92.8,89.4
KLIMAT,36.8,6.5,0.1,87.4,11.8
LITI,54.7,52.0,13.5,95.6,60.2
LOYAL,25.9,11.4,98.3,42.5,34.3
MODEL,65.1,1.4,11.6,16.6,5.1
NEO-B,,14.0,,22.8,2.8
NOSA,90.2,26.8,19.9,13.6,19.1
OBSE,,14.0,,53.5,12.8
OODA,95.1,40.7,84.8,11.8,71.9
OPTER,54.3,94.8,14.7,54.3,62.0
QLOSR-B,0.1,24.4,90.5,25.9,15.0
QCORE,10.9,4.7,95.8,5.3,8.3
RPLAN,28.9,33.9,98.6,1.5,25.1
RIGHTB,6.3,45.7,98.2,86.5,74.0
SFTR,63.4,47.8,4.7,48.9,26.2
SONE,53.3,26.3,61.5,98.8,75.3
SPEONE,4.3,56.0,80.4,28.5,30.0
SPOTR,9.1,0.4,70.0,23.0,5.8
TENEO,87.2,4.6,96.6,76.1,86.4
UNIBAP,80.5,68.3,22.0,97.2,87.3
UPSALE,27.8,94.4,21.7,51.1,45.7
VERT-B,53.9,61.8,25.6,72.4,58.3
VO2,35.3,16.9,73.5,75.0,50.3
VUXEN,50.0,51.0,80.2,42.6,65.7
WPTG-B,81.2,58.6,67.9,37.1,78.8
XMR,10.3,0.9,83.5,4.6,5.6
ZAPLOX,80.1,1.0,19.2,3.7,6.1
ALCA,28.7,47.2,75.4,29.8,36.1
BAHN-B,57.2,79.4,31.1,85.8,82.7
BRE2,55.4,71.4,34.9,90.8,82.1
EFFH,,14.0,,78.9,39.0
GAPW-B,90.7,7.3,64.8,27.0,42.3
INCOAX,23.1,33.5,86.3,13.7,21.5
KEBNI-B,35.8,56.7,2.7,94.5,41.9
LUMEN,37.2,84.8,69.2,12.7,52.1
MAVEN,27.3,40.0,26.1,31.5,9.9
TALK,74.5,82.0,13.3,99.7,88.2
TESSIN,7.2,5.0,97.7,19.8,11.2
WAYS,63.1,34.7,37.6,87.7,65.2
WYLD,87.6,7.5,10.7,42.2,18.0
